anio,pais,exportacion
2011,San Vicente y las Granadinas,46720.81
2011,Santa Lucia,6804.24
2011,Seychelles,140068.4
2011,Singapur,27971.09
2011,Sri Lanka,519023.95
2011,Sudáfrica,71210.58
2011,Suecia,1590431.87
2011,Suiza,943375.19
2011,Surinam,247344.39
2011,Tailandia,816881.25
2011,Taiwán, Provincia de China,427955.49
2011,Tokelau,80.96
2011,Trinidad y Tobago,398944.15
2011,Túnez,84146.82
2011,Turcas y Caicos, Islas,3318.47
2011,Turquía,343639.9
2011,Ucrania,11080.44
2011,Uganda,68861.98
2011,Uruguay,703622.61
2011,Venezuela,428573016
2011,Vietnam,183186.38
2011,ZFP Barranquilla,1363014.36
2011,ZFP Bogotá,1139562.35
2011,ZFP Candelaria,4386385.63
2011,ZFP Cartagena,116482.21
2011,ZFP la Cayena,28.16
2011,ZFP Pacifico,594.97
2011,ZFP Palmaseca,886146.82
2011,ZFP Rionegro,1024189.03
2012,Afganistán,13695.03
2012,Alemania,10788582.55
2012,Angola,109727.54
2012,Antigua y Barbuda,15675.57
2012,Antillas Holandesas,2602712.34
2012,Arabia Saudita,131319.83
2012,Argentina,7159203.21
2012,Aruba,1681878.57
2012,Australia,1455190.88
2012,Austria,85535.35
2012,Bahamas,461582.69
2012,Bahrein,44430.69
2012,Barbados,135157.48
2012,Bélgica,2780442.84
2012,Belice,22097.31
2012,Benin,32.06
2012,Bolivia,8777295.72
2012,Brasil,45352420.66
2012,Caimán, Islas,53336.02
2012,Camboya,1768182.75
2012,Canadá,11945500.35
2012,Chile,59153616.96
2012,China,2206103.61
2012,Chipre,59938.6
2012,Congo,5.37
2012,Corea,889216.24
2012,Costa Rica,63460599.59
2012,Cuba,2848234.64
2012,Dinamarca,6678564.44
2012,Dominica,305.99
2012,Ecuador,331969910.4
2012,Egipto,139367.26
2012,El Salvador,10096495.54
2012,Emiratos Árabes Unidos,524517.62
2012,Eslovaquia,36985.8
2012,Eslovenia,99098.72
2012,España,15928455.71
2012,Estados Unidos,418800625.1
2012,Estonia,1499.73
2012,Filipinas,455497.25
2012,Finlandia,15631.79
2012,Francia,12416643.16
2012,Gabón,8.89
2012,Georgia,24125.81
2012,Ghana,161120.12
2012,Granada,282.66
2012,Grecia,233407.38
2012,Guadalupe,154717.48
2012,Guatemala,17102408.74
2012,Guayana Francesa,6274.86
2012,Guinea Ecuatorial,4.39
2012,Guyana,17357.32
2012,Haití,332051.59
2012,Honduras,3426004.4
2012,Hong Kong,4758400.55
2012,Hungría,6132.68
2012,India,1075991.81
2012,Indonesia,365595.13
2012,Irak,121932.81
2012,Israel,150354.23
2012,Italia,5570992.66
2012,Jamaica,767023.98
2012,Japón,4144825.5
2012,Jordania,87160.53
2012,Kenia,109023.25
2012,Kuwait,521832.41
2012,Letonia,185017.54
2012,Líbano,477228.4
2012,Liberia,4599.93
2012,Lituania,965725.78
2012,Luxemburgo,3016.69
2012,Malasia,63560.38
2012,Malta,91325.68
2012,Martinica,92631.06
2012,Mauricio,58639.95
2012,Mauritania,64561.17
2012,México,196566882.2
2012,Montserrat,341.5
2012,Nicaragua,691030.81
2012,Nigeria,22495.42
2012,Noruega,423217.17
2012,Nueva Caledonia,477.75
2012,Nueva Zelandia,509056.51
2012,Países Bajos,18990516.85
2012,Pakistán,5349.2
2012,Panamá,55801088.88
2012,Paraguay,1323343.3
2012,Perú,157295403.2
2012,Polonia,431994.7
2012,Portugal,704182.58
2012,Puerto Rico,14054725.29
2012,Reino Unido,12604936.94
2012,República Checa,816128.94
2012,República Democrática del Congo,2253.59
2012,República Dominicana ,14354294.44
2012,Reunión,35137.95
2012,Rusia, Federación de,933831.69
2012,San Cristóbal y Nieves,285.09
2012,San Vicente y las Granadinas,4991.17
2012,Santa Lucia,12599.95
2012,Senegal,4810.95
2012,Seychelles,80086.47
2012,Singapur,164811.85
2012,Sri Lanka,527877.32
2012,Sudáfrica,195489.27
2012,Suecia,2598830.03
2012,Suiza,1369244.07
2012,Surinam,432223.96
2012,Tailandia,772682.13
2012,Taiwán, Provincia de China,556093.71
2012,Tanzania, República Unida de,2224.71
2012,Trinidad y Tobago,415244.59
2012,Turquía,532850.23
2012,Uganda,9104.03
2012,Uruguay,717625.88
2012,Venezuela,507751253.4
2012,Vietnam,183581.03
2012,Vírgenes (británicas), Islas,15093.88
2012,Vírgenes (de los Estados Unidos), Islas,1114.28
2012,ZFP Barranquilla,736107.6
2012,ZFP Bogotá,283979.73
2012,ZFP Candelaria,4464167.87
2012,ZFP Centro Logístico del Pacífico CELPA,631592.97
2012,ZFP Pacifico,7049.82
2012,ZFP Palmaseca,619823.71
2012,ZFP Rionegro,469243.56
2012,Zimbabwe,20821.08
2013,Alemania,8998182.66
2013,Angola,144486.32
2013,Antigua y Barbuda,5939.72
2013,Antillas Holandesas,2220133.07
2013,Arabia Saudita,286054.88
2013,Argentina,7022406.97
2013,Aruba,2181469.37
2013,Australia,2057667.98
2013,Austria,34504.91
2013,Bahamas,276015.33
2013,Bahrein,18295.35
2013,Bangla Desh,872.06
2013,Barbados,150078.46
2013,Belarús,2393.63
2013,Bélgica,3119971.31
2013,Belice,131921.82
2013,Benin,7.19
2013,Bolivia,13840048.28
2013,Brasil,73084377.01
2013,Caimán, Islas,27050.36
2013,Camboya,1891612.47
2013,Camerún,0.27
2013,Canadá,13987011.22
2013,Chile,40825784.84
2013,China,239279.83
2013,Chipre,26334.13
2013,Congo,100.33
2013,Corea,541940.19
2013,Costa Rica,70361758.57
2013,Croacia,8696.5
2013,Cuba,2911617.49
2013,Dinamarca,3884853.25
2013,Dominica,337.42
2013,Ecuador,353827723.5
2013,El Salvador,7153093.7
2013,Emiratos Árabes Unidos,751980.24
2013,Eslovenia,31468.08
2013,España,17509326.15
2013,Estados Unidos,479522975
2013,Estonia,6048.49
2013,Etiopia,11222.03
2013,Fiji,1062.38
2013,Filipinas,305602.67
2013,Finlandia,51915.54
2013,Francia,8476009.57
2013,Gabón,261.11
2013,Georgia,59626.74
2013,Ghana,160245.29
2013,Granada,242.87
2013,Grecia,261291.93
2013,Guadalupe,51904.67
2013,Guatemala,15007188.84
2013,Guayana Francesa,4317.92
2013,Guinea,110.63
2013,Guyana,2597.31
2013,Haití,792140.36
2013,Honduras,3277130.86
2013,Hong Kong,5523816.33
2013,Hungría,15861.01
2013,India,637152.36
2013,Indonesia,569114.83
2013,Israel,94166.55
2013,Italia,4297075.23
2013,Jamaica,484523.35
2013,Japón,6538435.05
2013,Jordania,29083.2
2013,Kenia,4725.5
2013,Kuwait,1242580.75
2013,Letonia,259043.64
2013,Líbano,69852.82
2013,Liberia,5483.52
2013,Madagascar,1737.53
2013,Malasia,235430.11
2013,Maldivas,66452.93
2013,Malta,13931.56
2013,Marruecos,52435.87
